"Story","Title","Result","Date","Stability","Duration (s)"
"Student CURD test","Delete the student and verify if the student is deleted!","SUCCESS","2019-06-01T17:09:01.366+01:00","0.0","0.1"
"First serenity test","File does not exist","COMPROMISED","2019-06-01T17:08:48.827+01:00","0.0","0.02"
"First serenity test","Get all students","SUCCESS","2019-06-01T17:08:48.854+01:00","0.0","0.15"
"First serenity test","This is a manual test","PENDING","2019-06-01T17:08:48.695+01:00","0.0","0.0"
"First serenity test","This is a pending test","PENDING","2019-06-01T17:08:48.690+01:00","0.0","0.0"
"First serenity test","This is a skipped test","IGNORED","2019-06-01T17:08:38.140+01:00","0.0","0.13"
"First serenity test","This is atest with error","ERROR","2019-06-01T17:08:38.301+01:00","0.0","0.03"
"First serenity test","This isa failing","FAILURE","2019-06-01T17:08:48.699+01:00","0.0","0.11"
"Student CURD test","This test will create a new student","SUCCESS","2019-06-01T17:08:58.919+01:00","0.0","0.8"
"First serenity test","This test will get the information of all the students from the Student App","SUCCESS","2019-06-01T17:08:38.359+01:00","0.0","10.33"
"Student CURD test","Update the user information and verify the updated information","SUCCESS","2019-06-01T17:09:01.142+01:00","0.0","0.22"
"Student CURD test","Verify if the student was added to the application","SUCCESS","2019-06-01T17:08:59.724+01:00","0.0","1.41"
